La Garenne-Colombes|29624|48.907164|2.244406
Clichy-sous-Bois|29568|48.906453|2.539531
Le Plessis-Robinson|29562|48.78138|2.260472
Saint-Cloud|29560|48.850588|2.211247
Bois-Colombes|29555|48.915331|2.268837
Faaa|29506|-17.584|-149.56
Bourgoin-Jallieu|29389|45.597957|5.266993
Guyancourt|29269|48.772925|2.069679
Périgueux|29255|45.193338|0.711255
Ermont|29230|48.989064|2.257425
Agde|29201|43.303068|3.486257
Yerres|29097|48.710884|2.491344
Sotteville-lès-Rouen|29071|49.411681|1.093507
Décines-Charpieu|28913|45.768363|4.958356
Soissons|28888|49.377401|3.327152
Tournefeuille|28763|43.576102|1.332752
Villiers-le-Bel|28636|49.00324|2.399649
Draveil|28595|48.677829|2.412138
Fresnes|28556|48.757544|2.324537
Orange|28454|44.124027|4.834142
Saint-Étienne-du-Rouvray|28331|49.38518|1.087631
Limeil-Brévannes|28290|48.747906|2.492425
Punaauia|28103|-17.618|-149.549
Dieppe|28091|49.919766|1.084789
Montfermeil|28006|48.897027|2.568728
Vallauris|27970|43.57674|7.060136
Saint-Sébastien-sur-Loire|27958|47.199355|-1.502678
Vanves|27871|48.820966|2.286356
Le Mont-Dore|27620|-22.249735|166.57297
Grigny|27571|48.65752|2.383052
Orvault|27438|47.270999|-1.619416
Lambersart|27425|50.652842|3.024594
Illkirch-Graffenstaden|27087|48.524658|7.722443
Rambouillet|27043|48.642496|1.834091
Sucy-en-Brie|27040|48.77067|2.528396
Brétigny-sur-Orge|27006|48.603562|2.296311
Oullins|26994|45.713777|4.80009
Papeete|26925|-17.558|-149.555
Le Gosier|26919|16.229731|-61.472339
Sens|26854|48.192954|3.293937
Villeparisis|26700|48.94368|2.614745
Taverny|26607|49.024195|2.212634
Bussy-Saint-Georges|26551|48.839173|2.715779
Sannois|26524|48.973523|2.253694
Miramas|26433|43.58259|5.011803
Bergerac|26360|44.851436|0.482291
Lunel|26356|43.682153|4.134681
La Teste-de-Buch|26269|44.616272|-1.157052
Étampes|26251|48.429826|2.156585
Saumur|26154|47.262475|-0.081943
Blagnac|26101|43.637457|1.3828
Cormeilles-en-Parisis|26074|48.970343|2.197955
Cenon|26047|44.854935|-0.523238
Le Grand-Quevilly|26034|49.412739|1.044635
Hénin-Beaumont|25886|50.420666|2.951562
Biarritz|25885|43.47144|-1.555081
Vertou|25879|47.155176|-1.467603
Gradignan|25871|44.769297|-0.616564
Élancourt|25857|48.778591|1.95997
Gonesse|25853|48.985195|2.457867
Cavaillon|25832|43.848309|5.031757
Remire-Montjoly|25793|4.892346|-52.278099
Alençon|25744|48.429859|0.092935
Montbéliard|25726|47.508197|6.794689
Aurillac|25703|44.918771|2.435053
La Garde|25563|43.127733|6.015261
Sèvremoine|25519|47.080502|-1.099814
Eaubonne|25498|48.9916|2.277576
Saintes|25412|45.748804|-0.647217
Vichy|25372|46.130925|3.428457
Brunoy|25344|48.695959|2.504827
Champs-sur-Marne|25230|48.851394|2.593974
Armentières|25225|50.692113|2.879124
Fontenay-aux-Roses|25174|48.789528|2.287978
Les Ulis|25165|48.681532|2.185946
Vierzon|25045|47.224288|2.07905
Béthune|24983|50.528207|2.646031
Kourou|24805|5.153624|-52.668537
Muret|24762|43.446371|1.298368
Villeneuve-la-Garenne|24592|48.935658|2.324647
Païta|24563|-16.62|-151.496
Le Kremlin-Bicêtre|24513|48.808178|2.355821
Libourne|24432|44.921243|-0.227374
Sainte-Anne|24430|16.261348|-61.386016
Petit-Bourg|24412|16.197776|-61.62455
Rodez|24397|44.359272|2.566732
Orly|24361|48.742287|2.395245
Eysines|24202|44.877727|-0.646305
La Valette-du-Var|24114|43.143841|5.990889
Laon|24091|49.5704|3.615286
Sainte-Suzanne|24086|-20.936548|55.607015
Vernon|24056|49.089623|1.494472
Le Bouscat|24006|44.864761|-0.599933
Montgeron|23943|48.704816|2.455399
Les Pavillons-sous-Bois|23904|48.906786|2.505613
Dole|23611|47.077973|5.493722
